Date,Country_of_Origin,Country_of_Destination,Product_Category,Trade_Value,Trade_Volume
2018-08-03,Canada,Japan,Electronics,484.16,167.0
2021-11-05,Japan,India,Textiles,479.02,195.0
2022-09-29,Canada,China,Food,427.32,1518.0
2018-04-30,Japan,Brazil,Electronics,1157.23,305.0
2016-01-31,Italy,USA,Electronics,7742.55,111.0
2015-10-10,Italy,France,Electronics,17580.38,191.0
2016-08-05,China,USA,Electronics,15546.19,1889.0
2017-10-14,Germany,Brazil,Electronics,3672.67,79.0
2011-05-18,Brazil,Canada,Food,3636.95,12.0
2021-08-21,China,France,Pharmaceuticals,6247.7,2324.0
2018-07-16,USA,Germany,Electronics,12381.24,529.0
2012-07-18,Italy,Brazil,Textiles,2287.11,171.0
2010-09-14,USA,Germany,Chemicals,10754.31,382.0
2020-05-30,China,Brazil,Food,16743.09,604.0
2015-05-25,China,Germany,Food,21712.76,864.0
2010-06-10,USA,Italy,Pharmaceuticals,12456.96,481.0
2015-01-13,USA,India,Electronics,2268.78,30.0
2017-03-09,USA,Brazil,Pharmaceuticals,5996.62,716.0
2014-11-24,China,Brazil,Chemicals,9946.01,495.0
2021-12-15,Japan,Canada,Textiles,10086.02,1084.0
2016-04-11,France,Brazil,Food,40589.67,187.0
2019-11-17,Russia,Japan,Chemicals,5455.43,109.0
2014-08-03,China,France,Food,13602.51,406.0
2019-03-03,China,Germany,Chemicals,5265.28,211.0
2020-03-05,Italy,Germany,Chemicals,13464.35,120.0
2015-02-11,Canada,Germany,Food,5928.68,612.0
2016-09-12,Germany,Italy,Vehicles,18692.57,613.0
2022-10-24,Italy,China,Electronics,6877.44,111.0
2020-03-26,USA,Brazil,Vehicles,9758.68,848.0
2017-02-05,Brazil,France,Vehicles,269.5,93.0
2020-12-14,Japan,Canada,Machinery,3365.3,662.0
2012-12-04,Canada,Germany,Vehicles,8516.0,218.0
2017-01-05,USA,Italy,Food,12834.55,58.0
2010-02-19,India,Italy,Pharmaceuticals,2794.05,303.0
2011-11-27,Japan,China,Food,34161.61,268.0
2010-04-21,Italy,China,Food,5505.95,462.0
2014-02-07,Canada,Italy,Electronics,8161.63,699.0
2022-10-05,Germany,India,Food,5822.36,49.0
2012-07-18,Canada,Germany,Machinery,216.17,269.0
2022-07-24,Russia,France,Electronics,39725.22,170.0
2021-06-12,China,USA,Textiles,186.97,1586.0
2012-01-27,France,USA,Textiles,1425.56,75.0
2019-08-23,China,India,Textiles,5773.54,275.0
2022-12-15,Canada,China,Machinery,9874.68,1379.0
2018-12-30,France,Germany,Electronics,35048.03,692.0
2018-07-16,France,China,Food,9011.62,1251.0
2018-01-27,Japan,Canada,Machinery,1757.26,337.0
2013-08-09,Germany,Japan,Machinery,2487.57,449.0
2018-01-15,India,Brazil,Textiles,13665.68,322.0
2011-12-21,Germany,China,Chemicals,3369.41,631.0
2015-08-18,Brazil,Canada,Machinery,11423.16,512.0
2015-07-25,Russia,USA,Pharmaceuticals,15916.62,243.0
2017-09-24,Japan,India,Vehicles,5104.45,788.0
2017-01-26,Russia,USA,Vehicles,2520.84,323.0
2019-10-09,India,USA,Pharmaceuticals,1076.85,483.0
2021-09-25,India,Canada,Pharmaceuticals,8703.87,939.0
2020-09-21,China,Italy,Textiles,5519.62,226.0
2010-02-26,Japan,Russia,Chemicals,18706.2,183.0
2013-09-14,Italy,China,Textiles,9537.67,897.0
2016-06-01,Japan,Germany,Vehicles,291.46,188.0
2017-08-02,Germany,Japan,Machinery,6926.66,65.0
2020-05-13,India,China,Chemicals,27926.43,83.0
2018-05-23,USA,China,Electronics,1372.85,200.0
2018-10-22,Germany,Italy,Food,185.09,1152.0
2011-04-05,Brazil,Canada,Food,1108.08,427.0
2018-03-18,Japan,Brazil,Food,35270.68,506.0
2021-03-12,China,Russia,Vehicles,7845.12,717.0
2020-10-05,India,Italy,Vehicles,6851.5,582.0
2012-05-17,Russia,USA,Vehicles,21893.02,268.0
2022-03-11,China,USA,Vehicles,16403.05,92.0
2020-09-30,Russia,Italy,Chemicals,26413.1,202.0
2019-05-29,Italy,Germany,Machinery,5949.03,256.0
2019-11-29,Germany,France,Vehicles,9708.66,518.0
2010-03-08,Italy,Russia,Vehicles,27300.8,765.0
2015-12-07,Canada,Japan,Electronics,10459.07,1485.0
2017-11-12,France,Brazil,Vehicles,635.49,718.0
2017-07-21,France,Brazil,Vehicles,4157.04,614.0
2012-09-27,India,Canada,Electronics,12412.56,207.0
2010-04-10,Italy,India,Chemicals,954.3,236.0
2021-11-10,France,Canada,Textiles,9682.63,1098.0
2019-09-29,Germany,India,Pharmaceuticals,84.78,370.0
2020-08-28,Russia,India,Machinery,34064.9,148.0
2021-04-07,Brazil,France,Pharmaceuticals,21505.0,165.0
2018-03-26,India,France,Chemicals,2090.17,920.0
2013-09-15,Canada,Japan,Chemicals,29874.28,42.0
2020-07-30,India,USA,Chemicals,11951.1,386.0
2018-01-01,China,USA,Electronics,34199.34,43.0
2017-11-07,Germany,Russia,Machinery,27804.74,1710.0
2019-11-21,USA,Russia,Vehicles,34766.39,1439.0
2016-02-01,Japan,Italy,Pharmaceuticals,8518.61,1275.0
2020-05-29,Russia,Italy,Electronics,12748.57,854.0
2022-02-04,Germany,USA,Chemicals,193.57,366.0
2022-06-15,India,Russia,Food,33763.74,408.0
2014-08-18,Brazil,India,Textiles,9678.98,26.0
2012-05-31,Russia,France,Food,1282.42,256.0
2014-06-09,Germany,Canada,Food,111.67,234.0
2014-08-20,Germany,USA,Textiles,8524.23,723.0
2018-06-15,USA,Japan,Pharmaceuticals,13937.39,1284.0
2010-09-20,Germany,Brazil,Textiles,19210.18,699.0
2011-09-28,USA,France,Vehicles,1759.81,136.0
2021-03-04,Brazil,Italy,Pharmaceuticals,8545.84,113.0
2012-02-26,India,China,Chemicals,698.61,910.0
2014-02-11,China,Canada,Pharmaceuticals,14517.09,655.0
2010-07-11,Russia,India,Electronics,456.49,568.0
2018-10-28,Japan,Italy,Textiles,7922.56,1057.0
2021-12-29,Brazil,USA,Machinery,8451.92,2254.0
2015-09-25,Germany,Canada,Textiles,32951.62,45.0
2015-03-29,Japan,France,Chemicals,5012.02,63.0
2021-02-08,France,Germany,Vehicles,938.3,21.0
2013-05-15,France,India,Pharmaceuticals,8242.79,330.0
2021-01-29,Germany,India,Chemicals,9646.28,90.0
2012-09-05,Italy,France,Food,8477.67,553.0
2021-09-27,Germany,France,Food,5546.8,120.0
2014-10-08,France,China,Pharmaceuticals,842.48,1238.0
2017-06-27,India,China,Electronics,8093.81,999.0
2010-09-03,France,Brazil,Pharmaceuticals,11030.17,69.0
2012-08-25,Russia,Japan,Pharmaceuticals,17290.86,261.0
2021-01-01,Japan,France,Electronics,3348.7,175.0
2019-09-16,Germany,Japan,Machinery,2782.92,1156.0
2022-05-02,Japan,Germany,Chemicals,5310.15,909.0
2012-08-21,Italy,Canada,Electronics,11091.98,177.0
2018-10-05,India,USA,Electronics,449.21,389.0
2017-02-20,USA,India,Chemicals,126.22,502.0
2014-11-17,India,Canada,Vehicles,1970.91,1.0
2016-08-28,Canada,Germany,Chemicals,14928.06,1153.0
2022-05-14,Italy,Germany,Food,15003.47,743.0
2012-02-26,Germany,Japan,Vehicles,15995.52,1462.0
2014-06-07,Brazil,Japan,Textiles,17510.25,23.0
2012-03-12,Germany,Italy,Chemicals,939.98,585.0
2013-09-07,China,Japan,Food,3054.08,966.0
2021-10-08,Russia,India,Chemicals,5038.63,280.0
2014-11-04,China,Russia,Textiles,22116.19,130.0
2014-11-03,France,Italy,Chemicals,2819.02,36.0
2021-06-21,USA,Brazil,Food,10344.13,178.0
2019-06-03,USA,China,Electronics,11930.95,12.0
2020-11-07,China,Canada,Pharmaceuticals,15234.68,235.0
2020-10-30,China,Germany,Vehicles,10092.36,186.0
2020-07-12,Japan,Germany,Textiles,12881.95,426.0
2020-11-09,India,Japan,Chemicals,7572.04,129.0
2020-04-27,Germany,Canada,Pharmaceuticals,13184.04,148.0
2016-01-27,China,Japan,Food,1436.31,13.0
2016-07-05,China,Japan,Electronics,1405.96,2064.0
2020-02-19,Russia,India,Food,5369.82,222.0
2022-05-08,Canada,USA,Electronics,11202.22,100.0
2011-03-12,China,India,Vehicles,6607.5,198.0
2014-05-15,France,USA,Food,8841.85,380.0
2015-03-26,India,Japan,Pharmaceuticals,15056.16,195.0
2014-03-02,Germany,Canada,Pharmaceuticals,388.97,300.0
2019-12-14,USA,Canada,Electronics,26232.09,813.0
2016-04-03,Germany,Japan,Food,178.41,720.0
2018-03-20,USA,Russia,Textiles,514.71,880.0
2018-08-25,Canada,Russia,Chemicals,2649.44,1672.0
2013-11-12,Brazil,Japan,Textiles,19089.63,101.0
2013-08-16,Brazil,India,Pharmaceuticals,38821.0,730.0
2019-03-30,Canada,Brazil,Food,6969.61,25.0
2015-02-01,Brazil,USA,Machinery,1039.85,416.0
2017-10-15,France,India,Textiles,14094.14,165.0
2012-07-01,Russia,France,Pharmaceuticals,12493.65,1687.0
2022-04-20,India,Canada,Vehicles,25326.18,476.0
2021-03-19,India,China,Chemicals,15335.27,626.0
2022-08-23,Germany,USA,Food,6805.52,97.0
2019-03-19,Russia,Italy,Pharmaceuticals,20670.09,1333.0
2020-01-10,Brazil,Italy,Chemicals,1715.03,166.0
2018-12-11,Germany,Japan,Electronics,17486.27,116.0
2015-02-22,China,France,Electronics,9552.81,106.0
2011-04-16,Canada,Japan,Food,21381.78,1301.0
2010-08-14,Russia,France,Vehicles,7980.34,550.0
2011-05-28,USA,France,Machinery,4462.95,432.0
2019-07-31,Canada,Germany,Pharmaceuticals,3741.9,1129.0
2018-11-05,Russia,Brazil,Vehicles,13669.09,201.0
2013-07-05,France,China,Food,916.14,151.0
2014-10-31,India,France,Vehicles,25340.07,786.0
2022-03-11,Italy,India,Vehicles,13892.43,608.0
2014-12-10,India,France,Machinery,31951.25,1089.0
2021-01-21,Canada,Russia,Food,30247.36,320.0
2019-01-30,Germany,France,Food,652.89,424.0
2011-04-10,Brazil,Russia,Food,17693.05,16.0
2022-06-21,Japan,Germany,Machinery,1429.32,190.0
2015-12-25,Italy,Canada,Vehicles,10241.42,279.0
2010-06-16,Japan,Russia,Machinery,6966.45,825.0
2022-05-01,China,Italy,Food,4892.17,2409.0
2011-03-04,France,China,Chemicals,875.33,1288.0
2018-11-18,Japan,Russia,Vehicles,9834.78,164.0
2010-08-26,Italy,Russia,Machinery,5031.19,579.0
2019-07-05,France,USA,Textiles,23356.09,811.0
2018-11-27,USA,Canada,Chemicals,2010.18,121.0
2019-03-01,France,Brazil,Chemicals,26029.77,71.0
2022-05-11,USA,Japan,Electronics,6878.95,401.0
2011-03-16,Germany,Canada,Machinery,2007.8,286.0
2022-09-04,USA,Germany,Electronics,293.76,403.0
2010-05-22,Germany,India,Chemicals,9544.73,535.0
2017-07-10,India,Japan,Pharmaceuticals,29254.59,968.0
2020-06-17,Germany,China,Pharmaceuticals,8526.97,87.0
2020-02-26,India,Russia,Electronics,6495.33,2088.0
2022-03-06,Canada,China,Food,20306.49,62.0
2014-08-25,Italy,China,Machinery,1014.06,173.0
2016-08-04,China,USA,Food,39075.15,476.0
2013-05-13,France,Japan,Machinery,1450.8,30.0
2020-07-30,Germany,USA,Machinery,7107.83,115.0
2019-07-29,Canada,India,Pharmaceuticals,17101.58,248.0
2012-07-05,India,USA,Vehicles,3513.73,72.0
2022-04-18,Japan,Canada,Textiles,4582.52,1128.0
2019-12-29,India,Russia,Textiles,32.85,673.0
2018-07-10,Japan,Russia,Textiles,55.36,1181.0
2020-06-10,USA,China,Textiles,3592.26,2957.0
2022-07-15,Russia,Italy,Pharmaceuticals,7182.09,1133.0
2018-06-26,Brazil,France,Textiles,50199.04,1240.0
2017-08-24,Russia,Brazil,Textiles,21842.82,154.0
2015-01-27,China,Italy,Machinery,9068.81,967.0
2015-04-10,Brazil,Russia,Pharmaceuticals,4153.19,565.0
2021-10-14,France,China,Electronics,8015.92,626.0
2021-08-24,India,Russia,Textiles,4343.32,936.0
2010-08-19,China,USA,Chemicals,22344.46,410.0
2019-05-10,Germany,France,Chemicals,17874.9,140.0
2022-07-28,Russia,Japan,Pharmaceuticals,55738.28,1419.0
2012-10-01,Russia,Germany,Electronics,7282.34,42.0
2017-10-19,Russia,France,Chemicals,14828.2,132.0
2011-02-10,India,France,Machinery,420.37,822.0
2013-01-17,Italy,USA,Food,15220.7,893.0
2016-06-24,Russia,USA,Electronics,1560.06,276.0
2010-12-29,India,Italy,Textiles,30579.45,54.0
2014-11-27,USA,Russia,Pharmaceuticals,36017.91,173.0
2022-12-27,Japan,USA,Textiles,949.02,118.0
2012-12-11,Canada,India,Pharmaceuticals,5288.27,543.0
2019-07-28,France,Brazil,Machinery,17021.6,268.0
2020-10-24,Japan,China,Food,13276.93,757.0
2021-03-22,USA,Canada,Vehicles,37766.34,570.0
2016-04-28,Canada,Russia,Textiles,27.1,156.0
2019-10-26,Japan,Brazil,Pharmaceuticals,6051.33,118.0
2017-05-19,USA,Japan,Textiles,1730.56,121.0
2011-12-23,Brazil,Canada,Vehicles,5589.96,60.0
2022-04-18,USA,Germany,Pharmaceuticals,7560.33,296.0
2022-08-01,Japan,Germany,Pharmaceuticals,32557.69,28.0
2021-12-17,USA,Russia,Textiles,8034.25,499.0
2010-12-14,Brazil,Japan,Food,3384.83,504.0
2022-06-27,India,Italy,Textiles,12472.26,5.0
2018-07-11,India,Brazil,Chemicals,879.68,22.0
2020-03-27,Japan,Canada,Electronics,4949.65,1226.0
2016-03-26,Russia,Italy,Pharmaceuticals,1408.11,226.0
2013-11-01,Brazil,USA,Chemicals,20243.36,1473.0
2021-08-15,France,China,Vehicles,22674.27,196.0
2015-03-27,Italy,France,Pharmaceuticals,12899.99,195.0
2011-02-09,India,Germany,Machinery,2953.97,348.0
2010-02-18,Italy,China,Food,6163.16,2462.0
2011-07-09,India,China,Food,1320.61,1319.0
2014-03-29,India,China,Pharmaceuticals,1688.81,1113.0
2014-03-13,Brazil,India,Electronics,3431.94,34.0
2016-03-06,USA,Italy,Food,1627.8,586.0
2021-01-01,Russia,Canada,Pharmaceuticals,9163.2,305.0
2017-03-23,India,Japan,Chemicals,9284.7,109.0
2012-08-31,Germany,Russia,Chemicals,5610.7,20.0
2020-02-14,Russia,USA,Chemicals,3095.67,576.0
2013-11-15,Germany,Japan,Electronics,17349.79,619.0
2015-01-12,Brazil,Canada,Chemicals,4124.89,847.0
2012-02-01,India,Germany,Pharmaceuticals,7060.71,67.0
2019-06-04,Germany,India,Machinery,26223.13,233.0
2013-11-18,USA,Germany,Textiles,1469.74,43.0
2015-12-02,Germany,Brazil,Chemicals,656.56,1807.0
2010-12-26,France,China,Chemicals,36576.83,475.0
2015-10-03,China,Russia,Chemicals,1350.8,892.0
2019-08-26,Germany,China,Food,4219.78,281.0
2015-08-09,Russia,Canada,Electronics,3784.48,903.0
2015-01-08,Germany,China,Vehicles,1980.12,842.0
2012-05-29,Canada,Italy,Electronics,7287.93,138.0
2010-02-08,Canada,Japan,Machinery,7876.54,616.0
2013-06-23,Russia,USA,Electronics,1723.05,2630.0
2019-06-06,China,Brazil,Chemicals,493.17,103.0
2015-05-06,Germany,France,Electronics,9851.78,161.0
2015-12-09,France,Russia,Food,744.04,1182.0
2018-11-07,Canada,India,Vehicles,698.89,1.0
2012-05-07,Germany,China,Chemicals,8472.6,156.0
2018-08-11,France,Brazil,Chemicals,6533.65,1258.0
2012-12-09,Canada,USA,Machinery,12143.23,153.0
2017-04-04,France,Germany,Food,24995.83,15.0
2019-05-21,Italy,Japan,Textiles,9629.95,775.0
2017-02-18,Brazil,China,Machinery,1966.33,709.0
2012-12-20,India,Canada,Food,9581.43,723.0
2013-07-17,France,Japan,Machinery,5520.59,64.0
2019-11-24,Italy,Japan,Electronics,7415.21,670.0
2012-09-20,Brazil,China,Electronics,1062.25,35.0
2016-10-08,Canada,China,Electronics,4214.68,574.0
2012-03-29,France,USA,Machinery,6696.29,212.0
2017-05-23,India,Germany,Food,11976.02,137.0
2010-09-21,Brazil,Italy,Chemicals,2541.11,1354.0
2020-01-06,China,Japan,Machinery,7229.89,632.0
2012-09-18,Brazil,Russia,Chemicals,14689.22,426.0
2014-01-15,India,Russia,Electronics,5405.62,245.0
2015-03-03,Russia,Brazil,Food,4425.87,330.0
2021-05-01,Canada,Russia,Vehicles,3734.61,147.0
2014-07-25,USA,Germany,Textiles,8597.65,132.0
2010-05-20,USA,Japan,Machinery,946.1,70.0
2018-04-23,Canada,Japan,Vehicles,3713.75,1615.0
2015-06-11,USA,China,Chemicals,9611.32,407.0
2011-12-02,China,Canada,Food,18737.62,170.0
2022-11-10,France,USA,Machinery,5904.44,822.0
2016-03-06,India,Russia,Machinery,4861.61,350.0
2010-08-24,Germany,India,Electronics,2853.84,1000.0
2022-04-06,Russia,Brazil,Chemicals,1877.99,97.0
2019-11-03,USA,China,Textiles,5776.27,772.0
2022-09-09,Italy,Germany,Food,4764.97,3980.0
2015-11-02,Brazil,India,Textiles,18668.37,131.0
2019-04-06,Japan,Italy,Vehicles,13925.08,18.0
2021-05-15,Brazil,Russia,Machinery,13342.4,122.0
2011-08-26,Japan,Brazil,Machinery,2564.36,1543.0
2016-05-04,China,Germany,Textiles,11462.02,361.0
2021-05-18,Japan,China,Chemicals,7984.15,14.0
2017-10-09,USA,France,Pharmaceuticals,804.8,499.0
2021-06-24,Japan,Brazil,Food,6691.91,436.0
2019-07-05,China,Russia,Electronics,18856.24,28.0
2019-10-28,China,France,Textiles,9810.36,459.0
2015-12-02,Russia,Italy,Electronics,14264.54,273.0
2016-02-28,Russia,Japan,Chemicals,10375.17,862.0
2012-04-01,Brazil,Italy,Vehicles,32691.02,222.0
2016-08-15,Brazil,USA,Electronics,11438.78,465.0
2017-06-22,Canada,Brazil,Textiles,39508.26,183.0
2015-09-24,Germany,Italy,Chemicals,5918.02,140.0
2010-10-29,Italy,Germany,Textiles,1835.37,512.0
2012-08-12,Brazil,Canada,Food,10537.0,52.0
2018-03-30,Japan,France,Machinery,5657.08,48.0
2019-03-19,Germany,Japan,Food,46.73,188.0
2012-05-10,USA,India,Food,4450.59,699.0
2018-01-04,Canada,Russia,Food,15798.01,625.0
2019-09-13,India,Italy,Electronics,16471.38,453.0
2021-05-26,Canada,China,Food,11263.07,1484.0
2018-09-24,Germany,India,Machinery,6639.65,125.0
2016-09-25,India,Italy,Chemicals,17465.78,447.0
2020-03-07,France,Brazil,Vehicles,2079.7,373.0
2018-05-12,India,Canada,Vehicles,10633.57,10.0
2018-04-15,Russia,Brazil,Vehicles,450.33,1240.0
2018-10-17,Canada,India,Pharmaceuticals,5645.6,570.0
2020-12-19,Germany,India,Electronics,9337.75,1287.0
2010-06-27,Brazil,USA,Textiles,8092.87,1369.0
2017-11-06,Canada,Italy,Electronics,24935.28,1531.0
2016-07-23,Canada,Italy,Vehicles,279.22,542.0
2011-10-03,China,Japan,Vehicles,8982.84,2831.0
2016-02-24,Russia,Canada,Pharmaceuticals,4887.71,795.0
2011-11-02,China,India,Machinery,7877.31,544.0
2022-02-14,Brazil,Germany,Food,31553.71,1060.0
2020-08-27,Japan,France,Food,2626.68,70.0
2014-07-22,France,Brazil,Textiles,7694.58,75.0
2015-04-07,Brazil,France,Electronics,5443.47,581.0
2020-05-24,Italy,Canada,Textiles,35928.3,291.0
2019-09-21,Canada,Brazil,Pharmaceuticals,22076.8,1233.0
2011-04-13,Canada,Brazil,Machinery,16791.46,324.0
2015-09-02,Canada,China,Textiles,8944.71,2213.0
2014-07-11,China,India,Food,5067.27,2.0
2010-04-28,Canada,Italy,Electronics,670.67,478.0
2016-01-20,China,Canada,Vehicles,483.55,616.0
2021-11-15,Japan,Italy,Food,2520.24,674.0
2010-09-27,Canada,Italy,Pharmaceuticals,3506.1,604.0
2022-11-25,Germany,China,Pharmaceuticals,52695.94,273.0
2014-12-17,France,Italy,Pharmaceuticals,34906.43,893.0
2015-03-07,Canada,France,Chemicals,3020.3,230.0
2015-01-19,China,India,Machinery,21110.51,797.0
2013-12-07,Canada,Germany,Vehicles,17684.7,613.0
2020-11-10,USA,Brazil,Textiles,22750.21,96.0
2020-07-23,Russia,Italy,Electronics,2780.68,267.0
2010-07-12,India,Japan,Electronics,2886.45,561.0
2014-04-20,Brazil,Italy,Machinery,13789.36,120.0
2012-09-01,Italy,China,Food,19231.02,308.0
2011-03-11,Japan,France,Electronics,333.89,367.0
2015-03-30,Canada,Russia,Food,18970.36,590.0
2018-10-14,Canada,Russia,Food,37718.16,204.0
2018-10-28,France,Canada,Vehicles,5941.42,1555.0
2013-04-21,Canada,USA,Textiles,458.03,517.0
2016-06-03,China,Russia,Textiles,5820.27,144.0
2014-04-24,Japan,Brazil,Electronics,5852.42,495.0
2016-06-18,France,Italy,Food,1186.22,760.0
2018-04-29,China,Italy,Electronics,5856.84,78.0
2020-06-08,Japan,USA,Textiles,14621.88,878.0
2017-10-07,Japan,Italy,Machinery,10841.11,1199.0
2012-08-01,France,Brazil,Electronics,3869.31,240.0
2020-03-26,Japan,India,Electronics,3382.85,276.0
2010-08-21,Italy,Russia,Textiles,6035.8,170.0
2022-11-20,India,Russia,Textiles,750.2,119.0
2020-07-24,India,Italy,Electronics,4605.58,127.0
2020-03-17,Italy,Brazil,Electronics,21763.38,373.0
2010-12-13,Italy,France,Pharmaceuticals,6446.19,345.0
2017-06-23,Japan,Italy,Pharmaceuticals,2457.53,2292.0
2010-06-13,Japan,USA,Vehicles,6219.08,680.0
2019-11-16,China,Brazil,Textiles,17264.25,1404.0
2016-10-28,Brazil,Russia,Vehicles,6809.39,1745.0
2010-07-02,France,China,Chemicals,1098.81,4.0
2015-01-17,Canada,France,Chemicals,3511.74,433.0
2022-12-01,Italy,China,Pharmaceuticals,1844.77,1052.0
2012-08-14,Russia,Japan,Vehicles,26197.53,86.0
2012-11-01,Germany,Japan,Electronics,2640.4,31.0
2019-05-06,Russia,China,Vehicles,4207.59,108.0
2010-02-24,Italy,China,Machinery,2779.77,77.0
2014-10-10,India,Italy,Pharmaceuticals,4289.22,480.0
2011-06-27,Italy,France,Vehicles,15934.38,1217.0
2010-03-27,France,India,Machinery,5237.52,316.0
2017-11-26,Canada,Italy,Electronics,6415.49,155.0
2019-01-31,Brazil,India,Machinery,2954.82,61.0
2021-08-10,China,Brazil,Food,2624.45,703.0
2017-12-05,Germany,Brazil,Textiles,836.17,564.0
2014-04-16,India,Brazil,Chemicals,787.3,1308.0
2019-06-22,China,Russia,Chemicals,13618.26,73.0
2016-05-19,France,China,Chemicals,3676.13,96.0
2011-09-19,Brazil,Germany,Textiles,15982.44,285.0
2021-10-11,Germany,Japan,Chemicals,1768.49,427.0
2017-10-10,India,Germany,Electronics,5852.82,132.0
2010-04-04,France,Brazil,Vehicles,1559.3,281.0
2021-05-29,India,Canada,Electronics,4692.47,715.0
2010-05-26,Italy,France,Food,2364.43,52.0
2017-10-27,Russia,Canada,Textiles,8177.6,1089.0
2014-02-09,Japan,Canada,Vehicles,14778.37,83.0
2014-04-29,Italy,Brazil,Textiles,22619.07,278.0
2011-08-13,France,USA,Chemicals,3770.34,593.0
2012-01-19,Germany,India,Food,7255.04,96.0
2015-06-14,China,Japan,Textiles,7875.27,493.0
2014-04-15,China,India,Food,989.19,491.0
2011-04-18,Germany,France,Electronics,2669.13,89.0
2017-09-01,Brazil,Germany,Vehicles,37113.41,145.0
2020-09-28,USA,Brazil,Vehicles,24853.8,765.0
2012-09-15,USA,Italy,Pharmaceuticals,41414.46,967.0
2022-11-21,France,Japan,Machinery,16285.55,471.0
2016-03-30,Italy,Germany,Machinery,5917.0,889.0
2010-07-30,India,Germany,Textiles,15523.3,1139.0
2020-02-25,China,USA,Textiles,5556.02,90.0
2013-03-23,India,Canada,Pharmaceuticals,2976.17,208.0
2015-09-07,Russia,USA,Pharmaceuticals,51488.27,460.0
2011-11-18,France,Japan,Pharmaceuticals,8879.9,74.0
2010-05-22,USA,China,Pharmaceuticals,3463.61,2330.0
2017-11-28,France,Brazil,Vehicles,20017.03,276.0
2018-12-30,Italy,USA,Food,16118.39,470.0
2015-08-05,Japan,Italy,Machinery,5735.9,104.0
2022-12-21,India,France,Textiles,22659.69,209.0
2020-12-11,China,Canada,Textiles,332.92,157.0
2020-06-18,Germany,Italy,Food,9029.26,409.0
2017-01-15,France,Brazil,Pharmaceuticals,10899.26,194.0
2020-12-25,Japan,USA,Chemicals,11245.8,314.0
2013-08-31,France,Germany,Chemicals,8874.27,2366.0
2014-07-12,Canada,Germany,Pharmaceuticals,36892.56,257.0
2022-10-12,Germany,Brazil,Electronics,7765.5,469.0
2013-11-05,Germany,Italy,Food,33497.36,1693.0
2017-08-14,India,Germany,Machinery,8771.95,2285.0
2010-06-12,France,Brazil,Food,894.81,409.0
2011-02-12,USA,Germany,Food,5920.9,62.0
2014-03-19,Canada,Germany,Textiles,762.53,1073.0
2022-11-19,India,Japan,Electronics,4454.14,102.0
2015-05-08,Germany,India,Vehicles,8395.94,109.0
2020-01-18,India,Japan,Machinery,5058.96,111.0
2020-08-03,USA,Germany,Pharmaceuticals,704.43,489.0
2014-03-19,Canada,USA,Chemicals,5085.55,1219.0
2022-11-04,Italy,Japan,Electronics,10856.91,1113.0
2022-05-16,France,Russia,Pharmaceuticals,18873.25,12.0
2012-06-04,Russia,USA,Textiles,25169.52,393.0
2020-09-18,France,Italy,Vehicles,7488.51,291.0
2013-07-18,Germany,Canada,Food,6873.25,24.0
2017-04-22,Russia,India,Electronics,92540.39,164.0
2022-01-28,Brazil,Italy,Textiles,16433.34,54.0
2020-03-09,Canada,Germany,Machinery,4380.44,666.0
2010-08-10,Brazil,Germany,Vehicles,2863.2,180.0
2010-11-14,USA,France,Pharmaceuticals,4709.13,602.0
2011-10-01,Japan,Canada,Food,10158.48,131.0
2019-05-02,India,Italy,Pharmaceuticals,4114.9,316.0
2018-07-02,India,Russia,Machinery,8747.29,933.0
2019-07-15,Japan,Russia,Vehicles,20851.06,953.0
2010-03-02,Italy,Russia,Food,5524.73,54.0
2014-09-10,Italy,USA,Food,33042.65,474.0
2017-12-07,Canada,Germany,Food,2657.74,62.0
2020-10-04,India,Japan,Pharmaceuticals,10235.87,477.0
2015-12-03,Japan,France,Machinery,2297.31,16.0
2010-01-18,Brazil,Japan,Machinery,14841.41,485.0
2018-05-16,Canada,France,Pharmaceuticals,8894.39,246.0
2019-04-22,Canada,France,Chemicals,1924.02,119.0
2017-09-02,Italy,Japan,Electronics,417.86,470.0
2020-05-30,India,Russia,Electronics,11883.99,1335.0
2011-03-07,China,India,Food,8365.13,40.0
2018-11-19,India,USA,Food,17388.07,619.0
2011-04-22,Canada,India,Vehicles,28136.46,463.0
2011-08-29,Italy,USA,Vehicles,3409.01,80.0
2021-01-29,Russia,USA,Food,20565.29,221.0
2017-10-26,China,Germany,Food,21713.73,624.0
2013-01-08,Germany,USA,Vehicles,2126.82,234.0
2011-10-19,Brazil,USA,Machinery,24632.05,9.0
2017-04-27,Brazil,China,Vehicles,7781.4,2.0
2019-06-01,Canada,France,Chemicals,5739.4,182.0
2020-04-07,China,France,Electronics,2223.78,282.0
2011-04-12,Italy,Japan,Pharmaceuticals,14782.03,168.0
2016-04-18,Russia,France,Machinery,24805.97,165.0
2011-06-03,Italy,Canada,Machinery,3152.02,101.0
2016-01-19,Japan,China,Textiles,662.77,1436.0
2015-09-09,India,Japan,Pharmaceuticals,2668.11,932.0
2014-11-18,India,France,Electronics,21429.36,156.0
2016-04-12,Germany,China,Vehicles,5548.72,40.0
2018-05-24,Canada,China,Chemicals,5942.3,114.0
2021-11-30,Canada,USA,Pharmaceuticals,646.21,733.0
2010-03-05,Germany,France,Textiles,3235.29,1180.0
